,Year,State,Yes,No,Category,Condition,Location 1
1422,1999,VT,85.2%,14.8%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Vermont
(43.62538123900049, -72.51764079099962)"
1423,1999,VA,88.8%,11.2%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Virginia
(37.54268067400045, -78.45789046299967)"
1424,1999,WA,85.9%,14.1%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Washington
(47.52227862900048, -120.47001078999972)"
1425,1999,WV,77.7%,22.3%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"West Virginia
(38.66551020200046, -80.71264013499967)"
1426,1999,WI,87.9%,12.1%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Wisconsin
(44.39319117400049, -89.81637074199966)"
1427,1999,WY,80.099999999999994%,19.899999999999999%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Wyoming
(43.23554134300048, -108.10983035299967)"
1428,1998,AL,80.5%,19.5%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Alabama
(32.84057112200048, -86.63186076199969)"
1429,1998,AK,78.2%,21.8%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Alaska
(64.84507995700051, -147.72205903599973)"
1430,1998,AZ,84.2%,15.8%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Arizona
(34.865970280000454, -111.76381127699972)"
1431,1998,AR,80.900000000000006%,19.100000000000001%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Arkansas
(34.74865012400045, -92.27449074299966)"
1432,1998,CA,78.8%,21.2%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"California
(37.63864012300047, -120.99999953799971)"
1433,1998,CO,82.7%,17.3%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Colorado
(38.843840757000464, -106.13361092099967)"
1434,1998,CT,89.4%,10.6%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Connecticut
(41.56266102000046, -72.64984095199964)"
1435,1998,DE,90.3%,9.699999999999999%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Delaware
(39.008830667000495, -75.57774116799965)"
1436,1998,DC,87%,13%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"District of Columbia
(38.89037138500049, -77.03196112699965)"
1437,1998,FL,77.599999999999994%,22.4%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Florida
(28.932040377000476, -81.92896053899966)"
1438,1998,GA,83.1%,16.899999999999999%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Georgia
(32.83968109300048, -83.62758034599966)"
1439,1998,HI,93%,7%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Hawaii
(21.304850435000446, -157.85774940299973)"
1440,1998,ID,81.7%,18.3%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Idaho
(43.682630005000476, -114.3637300419997)"
1441,1998,IL,87%,13%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Illinois
(40.48501028300046, -88.99771017799969)"
1442,1998,IN,84.1%,15.9%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Indiana
(39.766910452000445, -86.14996019399968)"
1443,1998,IA,89.3%,10.7%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Iowa
(42.46940091300047, -93.81649055599968)"
1444,1998,KS,87%,13%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kansas
(38.34774030000045, -98.20078122699965)"
1445,1998,KY,82.7%,17.3%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kentucky
(37.645970271000465, -84.77497104799966)"
1446,1998,LA,74.099999999999994%,25.9%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Louisiana
(31.31266064400046, -92.44568007099969)"
1447,1998,ME,84.3%,15.7%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Maine
(45.254228894000505, -68.98503133599962)"
1448,1998,MD,84.3%,15.7%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Maryland
(39.29058096400047, -76.60926011099963)"
1449,1998,MA,89.5%,10.5%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Massachusetts
(42.27687047000046, -72.08269067499964)"
1450,1998,MI,88.1%,11.9%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Michigan
(44.6613195430005, -84.71439026999968)"
1451,1998,MN,90.1%,9.9%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Minnesota
(46.35564873600049, -94.79420050299967)"
1452,1998,MS,77.5%,22.5%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Mississippi
(32.745510099000455, -89.53803082499968)"
1453,1998,MO,84.2%,15.8%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Missouri
(38.635790776000476, -92.56630005299968)"
1454,1998,MT,78.7%,21.3%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Montana
(47.06652897200047, -109.42442064499971)"
1457,1998,NE,90.2%,9.800000000000001%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nebraska
(41.6410409880005, -99.36572062299967)"
1458,1998,NV,80.8%,19.2%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nevada
(39.493240390000494, -117.07184056399967)"
1459,1998,NH,86.3%,13.7%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Hampshire
(43.65595011300047, -71.50036091999965)"
1460,1998,NJ,88.2%,11.8%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Jersey
(40.13057004800049, -74.27369128799967)"
1461,1998,NM,74.3%,25.7%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Mexico
(34.52088095200048, -106.24058098499967)"
1462,1998,NY,83.4%,16.600000000000001%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New York
(42.82700103200045, -75.54397042699964)"
1463,1998,NC,84.8%,15.2%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"North Carolina
(35.466220975000454, -79.15925046299964)"
1464,1998,ND,87.3%,12.7%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"North Dakota
(47.47531977900047, -100.11842104899966)"
1465,1998,OH,89.6%,10.4%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Ohio
(40.06021014100048, -82.40426005599966)"
1466,1998,OK,77.7%,22.3%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Oklahoma
(35.47203135600046, -97.52107021399968)"
1467,1998,OR,84.2%,15.8%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Oregon
(44.56744942400047, -120.15503132599969)"
1468,1998,PA,87.1%,12.9%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Pennsylvania
(40.79373015200048, -77.86070029399963)"
1469,1998,PR,87.4%,12.6%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Puerto Rico
"
1470,1998,RI,88.3%,11.7%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Rhode Island
(41.70828019300046, -71.52247031399963)"
1471,1998,SC,81.3%,18.7%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"South Carolina
(33.998821303000454, -81.04537120699968)"
1472,1998,SD,84.8%,15.2%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"South Dakota
(44.353130053000484, -100.3735306369997)"
1473,1998,TN,85.2%,14.8%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Tennessee
(35.68094058000048, -85.77449091399967)"
1474,1998,TX,72.5%,27.5%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Texas
(31.827240407000488, -99.42677020599967)"
1475,1998,UT,86.2%,13.8%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Utah
(39.360700171000474, -111.58713063499971)"
1476,1998,VT,87.6%,12.4%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Vermont
(43.62538123900049, -72.51764079099962)"
1477,1998,VA,86.2%,13.8%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Virginia
(37.54268067400045, -78.45789046299967)"
1478,1998,WA,87.2%,12.8%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Washington
(47.52227862900048, -120.47001078999972)"
1479,1998,WV,79.400000000000006%,20.6%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"West Virginia
(38.66551020200046, -80.71264013499967)"
1480,1998,WI,90%,10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Wisconsin
(44.39319117400049, -89.81637074199966)"
1481,1998,WY,79.8%,20.2%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Wyoming
(43.23554134300048, -108.10983035299967)"
1482,1997,AL,82.7%,17.3%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Alabama
(32.84057112200048, -86.63186076199969)"
1483,1997,AK,77.2%,22.8%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Alaska
(64.84507995700051, -147.72205903599973)"
1484,1997,AZ,82.1%,17.899999999999999%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Arizona
(34.865970280000454, -111.76381127699972)"
1485,1997,AR,78.400000000000006%,21.6%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Arkansas
(34.74865012400045, -92.27449074299966)"
1486,1997,CA,77.3%,22.7%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"California
(37.63864012300047, -120.99999953799971)"
1487,1997,CO,86%,14%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Colorado
(38.843840757000464, -106.13361092099967)"
1488,1997,CT,89.2%,10.8%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Connecticut
(41.56266102000046, -72.64984095199964)"
1489,1997,DE,87%,13%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Delaware
(39.008830667000495, -75.57774116799965)"
1490,1997,DC,86.8%,13.2%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"District of Columbia
(38.89037138500049, -77.03196112699965)"
1491,1997,FL,77.400000000000006%,22.6%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Florida
(28.932040377000476, -81.92896053899966)"
1492,1997,GA,86.3%,13.7%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Georgia
(32.83968109300048, -83.62758034599966)"
1493,1997,HI,92.6%,7.4%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Hawaii
(21.304850435000446, -157.85774940299973)"
1494,1997,ID,79.900000000000006%,20.100000000000001%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Idaho
(43.682630005000476, -114.3637300419997)"
1495,1997,IL,86.5%,13.5%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Illinois
(40.48501028300046, -88.99771017799969)"
1496,1997,IN,85.4%,14.6%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Indiana
(39.766910452000445, -86.14996019399968)"
1497,1997,IA,88%,12%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Iowa
(42.46940091300047, -93.81649055599968)"
1498,1997,KS,88.5%,11.5%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kansas
(38.34774030000045, -98.20078122699965)"
1499,1997,KY,83.2%,16.8%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kentucky
(37.645970271000465, -84.77497104799966)"
1500,1997,LA,75.599999999999994%,24.4%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Louisiana
(31.31266064400046, -92.44568007099969)"
1501,1997,ME,85.7%,14.3%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Maine
(45.254228894000505, -68.98503133599962)"
1502,1997,MD,88.3%,11.7%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Maryland
(39.29058096400047, -76.60926011099963)"
1503,1997,MA,89%,11%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Massachusetts
(42.27687047000046, -72.08269067499964)"
1504,1997,MI,88.2%,11.8%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Michigan
(44.6613195430005, -84.71439026999968)"
1505,1997,MN,90.4%,9.6%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Minnesota
(46.35564873600049, -94.79420050299967)"
1506,1997,MS,81.7%,18.3%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Mississippi
(32.745510099000455, -89.53803082499968)"
1507,1997,MO,85%,15%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Missouri
(38.635790776000476, -92.56630005299968)"
1508,1997,MT,82.1%,17.899999999999999%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Montana
(47.06652897200047, -109.42442064499971)"
1511,1997,NE,90.5%,9.5%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nebraska
(41.6410409880005, -99.36572062299967)"
1512,1997,NV,83.3%,16.7%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nevada
(39.493240390000494, -117.07184056399967)"
1513,1997,NH,87.7%,12.3%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Hampshire
(43.65595011300047, -71.50036091999965)"
1514,1997,NJ,86%,14%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Jersey
(40.13057004800049, -74.27369128799967)"
1515,1997,NM,74.3%,25.7%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Mexico
(34.52088095200048, -106.24058098499967)"
1516,1997,NY,83.1%,16.899999999999999%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New York
(42.82700103200045, -75.54397042699964)"
1517,1997,NC,82.8%,17.2%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"North Carolina
(35.466220975000454, -79.15925046299964)"
1518,1997,ND,85.6%,14.4%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"North Dakota
(47.47531977900047, -100.11842104899966)"
1519,1997,OH,87.3%,12.7%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Ohio
(40.06021014100048, -82.40426005599966)"
1520,1997,OK,79.099999999999994%,20.9%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Oklahoma
(35.47203135600046, -97.52107021399968)"
